fda_553,-11.4,-10.4,-10.4,-9.7,-9.6,-9.5,-9.3,-9.3,-8.9,-11.4
fda_554,-11.4,-10.8,-10.4,-10.1,-10.0,-9.9,-9.9,-9.5,-9.0,-11.4
fda_1700,-11.1,-10.2,-10.1,-9.9,-9.9,-9.8,-9.7,-9.6,-9.6,-11.1
fda_1755,-11.0,-10.8,-10.7,-10.4,-10.1,-10.0,-10.0,-10.0,-9.9,-11.0
fda_871,-11.0,-11.0,-10.8,-10.7,-10.6,-10.1,-9.9,-9.8,-9.8,-11.0
fda_872,-11.0,-11.0,-10.8,-10.6,-10.5,-10.5,-10.1,-9.6,-9.5,-11.0
fda_1829,-10.9,-10.9,-10.6,-10.6,-10.2,-10.2,-10.1,-10.1,-10.0,-10.9
fda_95,-10.8,-10.4,-10.4,-9.8,-9.7,-9.6,-9.3,-9.3,-8.7,-10.8
fda_161,-10.8,-9.7,-9.5,-9.5,-9.5,-9.2,-9.2,-9.1,-8.9,-10.8
fda_160,-10.7,-9.9,-9.7,-9.6,-9.6,-9.5,-9.4,-9.2,-8.8,-10.7
